ticker,code,industry,included,excluded
000001.SZ,624010,Banks,19910403,
000002.SZ,624040,Real Estate,19910129,20170301
000002.SZ,626010,Real Estate,20170302,
000003.SZ,622010,Capital Goods,19910703,
000004.SZ,622030,Transportation,19910114,20010302
000004.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20010303,
000005.SZ,624040,Real Estate,19901210,20151204
000005.SZ,622020,Commercial & Professional Services,20151205,
000006.SZ,624040,Real Estate,19920427,20170301
000006.SZ,626010,Real Estate,20170302,
000007.SZ,624040,Real Estate,19920413,20070420
000007.SZ,622530,Consumer Services,20070421,20170417
000007.SZ,626010,Real Estate,20170418,
000008.SZ,622010,Capital Goods,19920507,20100810
000008.SZ,623010,Food & Staples Retailing,20100811,20121015
000008.SZ,624040,Real Estate,20121016,20130103
000008.SZ,622530,Consumer Services,20130104,20150312
000008.SZ,622010,Capital Goods,20150313,
000009.SZ,622010,Capital Goods,19910625,
000010.SZ,624520,Technology Hardware & Equipment,19951027,20060429
000010.SZ,622010,Capital Goods,20060430,20080429
000010.SZ,622010,Capital Goods,20080430,20130731
000010.SZ,622010,Capital Goods,20130801,
000011.SZ,624040,Real Estate,19920330,20170301
000011.SZ,626010,Real Estate,20170302,
000012.SZ,621510,Materials,19920228,
000013.SZ,621510,Materials,19920506,
000014.SZ,624520,Technology Hardware & Equipment,19920602,20010424
000014.SZ,624040,Real Estate,20010425,20170301
000014.SZ,626010,Real Estate,20170302,
000015.SZ,622010,Capital Goods,19920625,20151230
000015.SZ,622550,Retailing,20151231,
000016.SZ,622520,Consumer Durables & Apparel,19920327,
000017.SZ,622520,Consumer Durables & Apparel,19920331,
000018.SZ,622520,Consumer Durables & Apparel,19920616,20110630
000018.SZ,624040,Real Estate,20110701,20150727
000018.SZ,622010,Capital Goods,20150728,
000019.SZ,623020,"Food, Beverage & Tobacco",19921012,20190427
000019.SZ,622010,Capital Goods,20190428,
000020.SZ,624520,Technology Hardware & Equipment,19920428,20120709
000020.SZ,622520,Consumer Durables & Apparel,20120710,
000021.SZ,624520,Technology Hardware & Equipment,19940202,
000023.SZ,621510,Materials,19930429,
000024.SZ,621010,Energy,19930607,20041019
000024.SZ,624040,Real Estate,20041020,20151230
000024.SZ,626010,Real Estate,20170302,
000025.SZ,622010,Capital Goods,19930621,20030415
000025.SZ,622550,Retailing,20030416,
000026.SZ,622520,Consumer Durables & Apparel,19930603,
000027.SZ,625510,Utilities,19930903,
000028.SZ,623020,"Food, Beverage & Tobacco",19930809,20020330
000028.SZ,623510,Health Care Equipment & Services,20020331,
000029.SZ,624040,Real Estate,19930915,20170301
000029.SZ,626010,Real Estate,20170302,
000030.SZ,622520,Consumer Durables & Apparel,19930929,20030430
000030.SZ,622020,Commercial & Professional Services,20030501,20110809
000030.SZ,622510,Automobiles & Components,20110810,
000031.SZ,622010,Capital Goods,19931008,20060823
000031.SZ,624040,Real Estate,20060824,20170301
000031.SZ,626010,Real Estate,20170302,
000032.SZ,624520,Technology Hardware & Equipment,19931028,20100810
000032.SZ,624520,Technology Hardware & Equipment,20100811,
000033.SZ,622530,Consumer Services,19940103,20170707
000033.SZ,622530,Consumer Services,20170708,
000034.SZ,623020,"Food, Beverage & Tobacco",19940509,20020424
000034.SZ,624520,Technology Hardware & Equipment,20020425,20050430
000034.SZ,623020,"Food, Beverage & Tobacco",20050501,20090818
000034.SZ,622010,Capital Goods,20090819,20160424
000034.SZ,624520,Technology Hardware & Equipment,20160425,
000035.SZ,624520,Technology Hardware & Equipment,19940408,20140602
000035.SZ,622020,Commercial & Professional Services,20140603,
000036.SZ,622520,Consumer Durables & Apparel,19940617,20050829
000036.SZ,621510,Materials,20050830,20080830
000036.SZ,624040,Real Estate,20080831,20170301
000036.SZ,626010,Real Estate,20170302,
000037.SZ,625510,Utilities,19940701,
000038.SZ,622010,Capital Goods,19940808,20090430
000038.SZ,624040,Real Estate,20090501,20151122
000038.SZ,622540,Media,20151123,
000039.SZ,622010,Capital Goods,19940408,20200326
000039.SZ,622010,Capital Goods,20200327,
000040.SZ,624040,Real Estate,19940808,20160714
000040.SZ,625510,Utilities,20160715,
000042.SZ,624040,Real Estate,19940921,20170301
000042.SZ,626010,Real Estate,20170302,
000045.SZ,622520,Consumer Durables & Apparel,19940815,20120709
