Date,Energy,Materials,Capital Goods,Commercial & Professional Services,Transportation,Automobiles & Components,Consumer Durables & Apparel,Consumer Services,Media,Retailing,Food & Staples Retailing,"Food, Beverage & Tobacco",Household & Personal Products,Health Care Equipment & Services,"Pharmaceuticals, Biotechnology & Life Sciences",Banks,Diversified Financials,Insurance,Real Estate,Software & Services,Technology Hardware & Equipment,Semiconductors & Semiconductor Equipment,Communication Services,Utilities
1999-12-30,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2000-01-04,1027.8796,1025.4437,1029.9589,1071.1986,1019.612,1021.3995,1030.9327,1024.994,1074.4862,1032.9739,1036.3298,1025.7899,1020.5759,1026.9536,1028.5275,1043.6729,1036.3276,1000.0,1036.3087,1041.5875,1050.2894,1060.1399,1074.3802,1026.3254
2000-01-05,1056.2466,1030.5925,1035.8812,1121.5292,1021.2555,1020.2415,1029.2474,1032.2273,1063.4612,1046.7854,1080.5762,1032.8712,1024.9281,1027.9828,1026.3883,1030.9276,1036.3276,1000.0,1038.3258,1043.9457,1039.4087,1049.1119,1057.1626,1031.3013
2000-01-06,1121.0104,1070.6904,1076.2522,1195.1989,1053.97,1055.803,1076.5245,1067.2203,1149.484,1080.0125,1139.0941,1073.6569,1050.7501,1060.9811,1064.4802,1068.4475,1077.8843,1000.0,1078.104,1075.804,1092.412,1099.3059,1107.4381,1073.3405
2000-01-07,1161.3616,1110.2955,1118.6858,1247.859,1096.6919,1088.183,1127.4673,1101.3179,1212.722,1123.674,1199.4912,1113.7831,1081.9492,1109.4365,1104.2076,1109.9817,1110.524,1000.0,1118.0321,1100.3921,1124.6558,1128.7845,1144.6282,1117.9894
2000-01-10,1178.7001,1131.446,1149.0825,1319.4038,1111.9623,1097.8361,1150.3556,1123.7389,1241.0427,1156.8263,1225.3811,1135.3109,1102.0936,1114.8978,1126.1387,1138.343,1190.9952,1000.0,1141.9674,1135.9302,1144.4095,1141.1456,1170.799,1131.9027
2000-01-11,1139.225,1081.6224,1103.6957,1365.2452,1064.6259,1063.4861,1094.4688,1077.3381,1198.3569,1117.5781,1219.793,1102.9618,1037.0133,1056.676,1081.2664,1079.8284,1118.1199,1000.0,1092.9877,1088.9492,1092.7383,1072.1953,1104.6833,1075.2136
2000-01-12,1100.897,1053.604,1075.175,1301.674,1035.6016,1043.2052,1061.3229,1044.5751,1172.8273,1105.317,1159.9288,1080.8398,1013.361,1027.3737,1049.8524,1036.2506,1089.0027,1000.0,1058.6311,1053.7094,1049.691,1022.0684,1053.7191,1047.2336
2000-01-13,1093.4613,1050.1083,1065.6825,1284.2628,1027.3094,1032.5795,1050.731,1042.4636,1116.1206,1081.316,1128.0306,1069.036,1003.4486,1032.1495,1046.6001,1029.5802,1069.2977,1000.0,1047.9153,1051.2656,1043.4496,1016.2197,1046.832,1042.5922
2000-01-14,1077.9434,1038.6561,1058.5099,1291.4572,1016.0477,1021.3633,1037.6063,1034.9695,1109.8593,1082.26,1119.7201,1058.7119,985.126,1023.0743,1037.9073,1010.6987,1055.152,1000.0,1030.5127,1033.8401,1028.6073,1001.4424,1043.3885,1031.3345
2000-01-17,1102.4619,1056.3142,1079.2711,1303.9215,1032.1832,1035.6521,1057.6644,1053.4331,1132.2069,1111.9061,1148.4852,1077.7275,988.8913,1035.8816,1057.0834,1021.1544,1089.5531,1000.0,1049.7269,1056.5313,1043.8489,1014.0314,1084.7108,1051.1027
2000-01-18,1105.3212,1058.0326,1073.3083,1296.7574,1033.3094,1031.8147,1052.3643,1050.2021,1123.7498,1100.0038,1123.5906,1072.364,987.2488,1032.252,1055.0564,1002.3288,1097.4791,1000.0,1042.4651,1056.949,1041.3925,993.606,1073.0028,1072.2908
2000-01-19,1121.7109,1072.339,1083.3364,1354.2683,1042.2239,1044.4164,1062.1184,1062.9626,1142.9714,1112.8306,1144.0387,1096.3125,993.9185,1042.09,1074.3177,1006.2342,1114.2118,1000.0,1055.0403,1083.5349,1064.8026,1000.5875,1077.8237,1076.5636
2000-01-20,1141.8257,1086.1351,1103.6469,1453.2732,1054.3986,1061.0647,1080.4313,1085.2274,1199.9293,1148.4565,1177.042,1124.1678,1031.3604,1072.6582,1095.9423,1010.7659,1137.8799,1000.0,1075.6914,1096.5972,1090.5682,1026.5782,1112.259,1089.1167
2000-01-21,1145.6481,1080.1272,1117.2046,1508.4835,1054.5601,1044.5166,1080.2146,1082.0156,1270.7405,1167.9076,1196.2836,1123.1835,1030.4901,1051.9893,1085.7847,1014.7607,1140.0815,1000.0,1078.5955,1103.9174,1112.2499,1028.6206,1122.5896,1083.1926
2000-01-24,1153.2933,1089.9803,1137.1149,1545.6342,1065.322,1038.7408,1094.4652,1101.5127,1290.8552,1210.8057,1237.1415,1143.9955,998.5236,1069.9332,1118.7524,995.1608,1128.4126,1000.0,1088.3726,1160.8474,1141.8768,1040.6045,1136.3637,1091.9198
2000-01-25,1171.9938,1093.3025,1124.4528,1524.3531,1064.9412,1059.778,1095.6366,1109.3453,1253.0353,1202.839,1238.0278,1144.3756,1031.4387,1076.5526,1110.4393,1009.3484,1132.7059,1000.0,1099.9313,1142.9188,1125.0851,1033.2344,1132.9202,1093.8899
2000-01-26,1158.4565,1099.8542,1131.8058,1603.1591,1068.936,1052.5601,1097.0579,1119.2197,1286.6128,1205.9261,1244.267,1155.9397,1019.2214,1075.0344,1108.9064,1003.5615,1177.8402,1000.0,1100.9543,1147.1011,1122.1156,1015.6766,1162.5345,1096.7754
2000-01-27,1190.4204,1104.8749,1162.2511,1664.3354,1073.1622,1049.397,1107.3354,1139.4417,1390.7874,1238.1062,1270.5872,1166.8727,1011.7654,1089.8683,1126.9911,1015.7895,1183.9498,1000.0,1124.7742,1233.0942,1197.4443,1098.7456,1278.9257,1107.8256
2000-01-28,1217.049,1120.2251,1193.0791,1658.9275,1087.6865,1066.5996,1132.3899,1178.8975,1491.7893,1280.5154,1290.8582,1184.2078,1019.1168,1090.3112,1136.4314,1045.7556,1166.7767,1000.0,1149.2693,1239.0846,1232.1808,1110.7291,1279.6144,1121.3973
2000-02-14,1316.6571,1218.3644,1302.1082,1824.8879,1184.0735,1158.9592,1237.2966,1292.8835,1635.4957,1403.4154,1412.1392,1290.5984,1109.7114,1199.3215,1236.2412,1147.0011,1280.6033,1000.0,1256.8553,1362.2277,1351.9598,1221.8994,1407.7136,1224.9666
2000-02-15,1311.3158,1203.7675,1326.3878,1957.7146,1186.6299,1140.8555,1225.2612,1319.9495,1687.411,1448.0103,1439.234,1288.4814,1081.678,1178.087,1218.6285,1092.0955,1258.3114,1000.0,1276.4521,1422.0343,1417.1396,1269.0527,1548.2095,1231.3677
2000-02-16,1314.4907,1219.1274,1361.129,2144.342,1209.1381,1141.894,1221.3992,1340.6558,1774.5131,1525.5364,1502.5692,1305.8075,1140.7115,1207.5883,1205.9949,1060.9637,1274.6588,1000.0,1328.0629,1503.4253,1492.8212,1268.2627,1703.1682,1246.6456
2000-02-17,1273.2721,1197.6459,1307.6332,1944.6506,1210.7816,1138.507,1170.2435,1274.5146,1603.2583,1438.835,1411.0847,1259.5438,1092.7794,1141.0223,1151.3733,1056.1497,1211.5808,1000.0,1321.282,1360.6621,1381.9292,1153.4313,1728.6503,1210.4946
2000-02-18,1273.2777,1206.4685,1331.0013,2115.3733,1243.5439,1141.3842,1185.52,1309.0333,1628.7971,1486.6398,1464.2585,1298.8392,1078.0554,1146.504,1164.0494,1037.8049,1241.7438,1000.0,1366.0071,1427.9387,1437.8301,1164.642,1901.5153,1229.7743
2000-02-21,1269.7515,1228.4575,1320.9397,2215.7644,1269.5497,1166.7473,1202.2308,1324.879,1485.314,1468.8717,1417.5991,1303.0228,1077.6621,1197.0356,1176.1063,1071.3969,1242.4043,1000.0,1427.7603,1370.9028,1366.2379,1105.3945,2091.598,1257.635
2000-02-22,1237.6329,1193.2373,1276.3132,2043.396,1215.1818,1146.7642,1168.9148,1292.795,1488.1423,1412.313,1385.519,1277.5316,1057.8833,1153.2246,1182.3932,1032.2053,1167.8226,1000.0,1350.7822,1314.1078,1327.0396,1092.5659,1882.2316,1216.9673
