Industry,Code,Ticker
Energy,621010,882100.WI
Materials,621510,882101.WI
Capital Goods,622010,882102.WI
Commercial & Professional Services,622020,882103.WI
Transportation,622030,882104.WI
Automobiles & Components,622510,882105.WI
Consumer Durables & Apparel,622520,882106.WI
Consumer Services,622530,882107.WI
Media,622540,882108.WI
Retailing,622550,882109.WI
Food & Staples Retailing,623010,882110.WI
"Food, Beverage & Tobacco",623020,882111.WI
Household & Personal Products,623030,882112.WI
Health Care Equipment & Services,623510,882113.WI
"Pharmaceuticals, Biotechnology & Life Sciences",623520,882114.WI
Banks,624010,882115.WI
Diversified Financials,624020,882116.WI
Insurance,624030,882117.WI
Real Estate,624040,882118.WI
Software & Services,624510,882119.WI
Technology Hardware & Equipment,624520,882120.WI
Semiconductors & Semiconductor Equipment,624530,882121.WI
Communication Services,625010,882122.WI
Utilities,625510,882123.WI
Real Estate,626010,
