ticker,industry,included,excluded
000001.SZ,6240,19910403,null
000002.SZ,6240,19910129,20170301
000002.SZ,6260,20170302,null
000003.SZ,6220,19910703,null
000004.SZ,6220,19910114,20010302
000004.SZ,6235,20010303,null
000005.SZ,6240,19901210,20151204
000005.SZ,6220,20151205,null
000006.SZ,6240,19920427,20170301
000006.SZ,6260,20170302,null
000007.SZ,6240,19920413,20070420
000007.SZ,6225,20070421,20170417
000007.SZ,6260,20170418,null
000008.SZ,6220,19920507,20100810
000008.SZ,6230,20100811,20121015
000008.SZ,6240,20121016,20130103
000008.SZ,6225,20130104,20150312
000008.SZ,6220,20150313,null
000009.SZ,6220,19910625,null
000010.SZ,6245,19951027,20060429
000010.SZ,6220,20060430,20080429
000010.SZ,6220,20080430,20130731
000010.SZ,6220,20130801,null
000011.SZ,6240,19920330,20170301
000011.SZ,6260,20170302,null
000012.SZ,6215,19920228,null
000013.SZ,6215,19920506,null
000014.SZ,6245,19920602,20010424
000014.SZ,6240,20010425,20170301
000014.SZ,6260,20170302,null
000015.SZ,6220,19920625,20151230
000015.SZ,6225,20151231,null
000016.SZ,6225,19920327,null
000017.SZ,6225,19920331,null
000018.SZ,6225,19920616,20110630
000018.SZ,6240,20110701,20150727
000018.SZ,6220,20150728,null
000019.SZ,6230,19921012,20190427
000019.SZ,6220,20190428,null
000020.SZ,6245,19920428,20120709
000020.SZ,6225,20120710,null
000021.SZ,6245,19940202,null
000023.SZ,6215,19930429,null
000024.SZ,6210,19930607,20041019
000024.SZ,6240,20041020,20151230
000024.SZ,6260,20170302,null
000025.SZ,6220,19930621,20030415
000025.SZ,6225,20030416,null
000026.SZ,6225,19930603,null
000027.SZ,6255,19930903,null
000028.SZ,6230,19930809,20020330
000028.SZ,6235,20020331,null
000029.SZ,6240,19930915,20170301
000029.SZ,6260,20170302,null
000030.SZ,6225,19930929,20030430
000030.SZ,6220,20030501,20110809
000030.SZ,6225,20110810,null
000031.SZ,6220,19931008,20060823
000031.SZ,6240,20060824,20170301
000031.SZ,6260,20170302,null
000032.SZ,6245,19931028,20100810
000032.SZ,6245,20100811,null
000033.SZ,6225,19940103,20170707
000033.SZ,6225,20170708,null
000034.SZ,6230,19940509,20020424
000034.SZ,6245,20020425,20050430
000034.SZ,6230,20050501,20090818
000034.SZ,6220,20090819,20160424
000034.SZ,6245,20160425,null
000035.SZ,6245,19940408,20140602
000035.SZ,6220,20140603,null
000036.SZ,6225,19940617,20050829
000036.SZ,6215,20050830,20080830
000036.SZ,6240,20080831,20170301
