Date,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate
1999-12-30,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000
2000-01-04,1027.8796,1025.4437,1028.1469,1030.4404,1026.6200,1028.4277,1038.6826,1050.4111,1074.3802,1026.3254,1036.3087
2000-01-05,1056.2466,1030.5925,1033.5674,1033.0914,1037.2223,1026.4893,1035.8656,1040.7003,1057.1626,1031.3013,1038.3258
2000-01-06,1121.0104,1070.6904,1072.6201,1074.8009,1079.1698,1064.2585,1074.9838,1091.5570,1107.4381,1073.3405,1078.1040
2000-01-07,1161.3616,1110.2955,1115.2076,1119.4935,1120.9342,1104.5388,1115.1517,1122.8640,1144.6282,1117.9894,1118.0321
2000-01-10,1178.7001,1131.4460,1142.7799,1142.4768,1142.8351,1125.4266,1142.6749,1143.3535,1170.7990,1131.9027,1141.9674
2000-01-11,1139.2250,1081.6224,1097.8102,1096.1222,1111.8544,1079.7086,1089.7037,1090.5236,1104.6833,1075.2136,1092.9877
2000-01-12,1100.8970,1053.6040,1068.8646,1071.1427,1085.9937,1048.4286,1052.5695,1047.5277,1053.7191,1047.2336,1058.6311
2000-01-13,1093.4613,1050.1083,1059.5538,1056.2959,1072.3020,1045.6847,1042.8167,1041.6615,1046.8320,1042.5922,1047.9153
2000-01-14,1077.9434,1038.6561,1051.6472,1047.6833,1061.8708,1036.9678,1025.0608,1026.5942,1043.3885,1031.3345,1030.5127
2000-01-17,1102.4619,1056.3142,1071.3550,1068.9910,1081.2590,1055.7404,1042.0269,1042.2595,1084.7108,1051.1027,1049.7269
2000-01-18,1105.3212,1058.0326,1066.8802,1062.3356,1074.1318,1053.6118,1031.6110,1038.4191,1073.0028,1072.2908,1042.4651
2000-01-19,1121.7109,1072.3390,1077.1044,1073.9043,1097.0836,1072.2764,1041.5454,1060.6127,1077.8237,1076.5636,1055.0403
2000-01-20,1141.8257,1086.1351,1096.4099,1097.6495,1125.8047,1094.4674,1057.1069,1085.2634,1112.2590,1089.1167,1075.6914
2000-01-21,1145.6481,1080.1272,1107.5137,1101.0103,1126.7836,1083.6439,1060.3363,1103.8678,1122.5896,1083.1926,1078.5955
2000-01-24,1153.2933,1089.9803,1125.6462,1119.0013,1147.5494,1115.6600,1059.8087,1134.6820,1136.3637,1091.9198,1088.3726
2000-01-25,1171.9938,1093.3025,1115.5027,1121.1410,1149.2041,1108.2927,1071.9391,1118.6233,1132.9202,1093.8899,1099.9313
