ticker,annouced,div_total,div_per_share
1,NaN,0,0
1,NaN,NaN,0
1,NaN,0,0
1,NaN,NaN,0
1,NaN,NaN,0
1,NaN,0,0
1,19930509,0,0
1,19940702,0,0
1,19950915,0,0
1,19960523,0,0
1,19970819,7753.028072,0.07494
1,19991011,76040.50751,0.49
1,20020717,23349.86579,0.12
1,20030923,23349.86579,0.12
1,20070614,155.0298162,0.0011
1,20081024,35.83192803,0.00015
1,20121012,46110.15374,0.09
1,20130614,67372.05797,0.1315
1,20140606,144715.334,0.152
1,20150407,188853.5108,0.1653
1,20160608,218922.7449,0.153
1,20170717,271292.4996,0.158
1,20180706,233517.5946,0.136
1,20190620,248970.9648,0.145
1,20200522,423049.0167,0.218
2,NaN,NaN,0
2,NaN,NaN,0
2,NaN,NaN,0
2,NaN,0,0
2,NaN,NaN,0
2,19920630,NaN,0
2,19930325,0,0
2,19940602,0,0
2,19950622,0,0
2,19960719,3862.216822,0.134
2,19970619,2060.809719,0.065
2,19980704,5019.846548,0.11134
2,19990729,3350.592023,0.06756
2,20000810,7571.663292,0.12
2,20010814,9085.99595,0.144
2,20020710,10095.55106,0.16
2,20030519,10095.59541,0.16
2,20040514,3031.503828,0.02
2,20050621,30698.7364,0.135
2,20060714,53593.63314,0.135
2,20070509,58993.63314,0.135
2,20080605,61848.05748,0.09
2,20090527,49478.44598,0.045
2,20100510,69269.82437,0.063
2,20110520,98956.89196,0.09
2,20120627,128643.9596,0.117
2,20130508,188229.7874,0.171
2,20140428,429033.0394,0.3895
2,20150714,524782.7598,0.475
2,20160722,794818.9441,0.72
2,20170822,872093.0081,0.79
2,20180816,993523.6801,0.9
2,20190809,1181189.225,1.045102
2,20200808,1181073.759,1.016613
3,NaN,NaN,0
3,19910305,0,0
3,19930404,0,0
3,19940513,0,0
3,19950728,0,0
3,19960710,0,0
4,NaN,NaN,0
4,NaN,NaN,0
4,NaN,NaN,0
4,NaN,NaN,0
4,NaN,NaN,0
4,NaN,NaN,0
4,19910630,0,0
4,19920401,0,0
4,19930630,0,0
4,19940507,0,0
4,19950826,0,0
4,20020618,335.906736,0.04
4,20030611,201.5440416,0.024
5,NaN,NaN,0
5,NaN,NaN,0
5,NaN,NaN,0
5,NaN,NaN,0
5,NaN,NaN,0
5,NaN,NaN,0
5,19940917,0,0
5,19950718,0,0
5,19960807,0,0
5,19970819,0,0
5,19980815,0,0
5,20000824,0,0
5,20010710,22.80879108,0.00035
5,20060727,0,0
6,NaN,NaN,0
6,NaN,NaN,0
6,NaN,0,0
6,NaN,NaN,0
6,19940608,0,0
6,19950704,0,0
6,19960722,1877.816412,0.18
6,19970627,805.7188587,0.0457
6,19980722,3488.037655,0.1513
6,19990712,4247.659819,0.1675
6,20000715,2028.733048,0.08
6,20010822,4057.466096,0.16
6,20020809,2637.352962,0.104
6,20030717,1622.986438,0.064
6,20050623,1711.743509,0.0675
6,20060621,4108.184422,0.162
6,20070522,7988.136377,0.315
6,20080423,1014.366524,0.04
6,20090619,3651.719486,0.072
6,20100507,2941.66292,0.058
6,20110608,1825.859743,0.024
6,20120704,593.404416,0.006
6,20130614,11892.8135,0.0925
6,20140603,19878.67705,0.14725
6,20150612,15133.44447,0.1121
6,20160613,16199.94055,0.12
6,20170608,24299.91083,0.18
6,20180615,24434.91033,0.181
6,20190612,26324.9034,0.195
6,20200612,24164.91132,0.179
7,NaN,NaN,0
7,NaN,NaN,0
7,NaN,NaN,0
7,NaN,NaN,0
7,NaN,NaN,0
7,NaN,NaN,0
7,19930519,0,0
7,19940615,0,0
7,19950721,0,0
7,19960828,0,0
7,19970625,0,0
7,20060810,0,0
7,20170516,0,0
8,NaN,NaN,0
8,NaN,0,0
8,NaN,NaN,0
8,NaN,NaN,0
8,NaN,NaN,0
8,19930630,0,0
8,19940531,0,0
8,19950822,0,0
8,19960831,0,0
8,20130521,0,0
8,20150307,0,0
8,20150918,0,0
8,20170524,2809.078279,0.01
8,20180601,14091.64905,0.05
8,20190622,2762.345065,0.01
8,20200522,2716.377683,0.01
9,NaN,NaN,0
9,NaN,NaN,0
9,NaN,0,0
9,NaN,NaN,0
9,19930101,0,0
9,19940603,0,0
9,19950705,0,0
9,19960723,0,0
9,19970731,0,0
9,20080514,0,0
9,20090731,2285.382062,0.022
9,20100820,3435.864166,0.0315
9,20110727,1963.350952,0.018
9,20130720,2563.263743,0.0235
9,20140703,2320.57175,0.0185
9,20150731,3025.004033,0.019
9,20160714,11144.7517,0.07
9,20170810,4298.689942,0.02
9,20180723,4298.689942,0.02
9,20190713,4298.689942,0.02
9,20200807,5158.42793,0.02
10,NaN,NaN,0
10,NaN,NaN,0
10,NaN,NaN,0
10,NaN,NaN,0
10,NaN,NaN,0
10,NaN,NaN,0
10,19960712,0,0
10,19970718,791.4312099,0.13494
10,19990525,0,0
10,20130717,0,0
11,NaN,NaN,0
11,NaN,NaN,0
11,NaN,NaN,0
11,19930630,0,0
11,19940418,0,0
11,19950814,0,0
11,19960813,0,0
11,20091116,4.3343934,8.00E-05
11,20140614,14154.50344,0.2375
11,20150603,12455.96302,0.209
11,20160517,4767.832736,0.08
11,20170518,10727.62366,0.18
11,20180622,17879.37276,0.3
11,20190509,17879.37276,0.3
11,20200509,21455.24731,0.36
11,20210424,24435.14277,0.41
12,NaN,0,0
12,NaN,NaN,0
12,NaN,NaN,0
12,NaN,NaN,0
12,19930513,0,0
12,19940427,0,0
12,19950711,0,0
12,19960717,0,0
12,19971025,1379.976715,0.0228
12,20010618,6498.963994,0.096
12,20020621,7040.544326,0.104
12,20030612,8123.704992,0.12
12,20040617,9748.44599,0.144
12,20050520,13539.50832,0.2
12,20060609,16450.50261,0.162
12,20070612,41126.25652,0.405
12,20080530,16037.50217,0.135
12,20090625,11013.64312,0.09
12,20100506,38514.91216,0.315
12,20110526,65398.50639,0.315
12,20120519,33620.43607,0.162
12,20130522,29573.53173,0.1425
12,20140428,59147.06346,0.285
12,20150430,98578.4391,0.475
12,20160511,62260.0668,0.3
12,20170711,20753.3556,0.1
12,20180620,12420.73774,0.05
12,20190620,14128.16439,0.05
12,20200620,21494.84475,0.07
13,19930630,0,0
13,19940607,0,0
13,19950825,0,0
13,19960727,0,0
13,19980919,0,0
14,NaN,NaN,0
14,NaN,0,0
14,NaN,NaN,0
14,NaN,NaN,0
14,19930630,0,0
14,19940517,0,0
14,19950802,0,0
14,19960726,0,0
14,20030423,215.1522,0.024
14,20040515,229.49568,0.0256
14,20050601,215.1522,0.024
14,20060715,282.3872625,0.0315
14,20070705,72.6138675,0.0054
14,20080710,33.61753125,0.0025
14,20090710,544.6040049,0.027
14,20100807,544.6040049,0.027
14,20110712,635.3713391,0.0315
14,20120612,363.0693366,0.018
14,20130606,479.0498191,0.02375
14,20140531,287.4298915,0.01425
14,20150610,364.0778625,0.01805
14,20160614,746.3091919,0.037
14,20170610,302.5577805,0.015
