Date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI,CI005030.WI
2004-12-31,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,
2005-01-04,972.6953,971.6588,974.9029,983.8077,976.2269,984.1301,985.7494,988.6503,984.3312,983.9793,980.1488,972.6857,971.9322,987.2661,994.5712,994.6379,993.5485,981.4770,985.3051,990.2624,984.9190,971.4580,993.1926,986.6346,992.7887,989.8816,997.8527,1001.2205,997.1057,
2005-01-05,972.4125,976.6908,988.5014,993.2399,983.7726,994.4515,1001.7736,1003.5723,997.8509,999.6678,994.2740,985.6846,985.9073,1000.1488,1010.9089,1006.3042,1013.4009,998.0035,997.0192,1005.2765,975.7218,991.0295,1018.1711,996.0323,1009.8923,1005.5461,1026.2292,1040.0349,1019.9167,
2005-01-06,953.4392,957.3087,965.2290,979.5781,969.9842,983.2128,993.2242,990.7411,994.4649,991.6098,985.4079,977.5772,976.1110,991.3207,1006.3078,1008.0521,1004.7371,991.8041,989.2030,994.1639,965.1899,992.4178,1017.2031,992.8979,1001.3624,989.5672,1024.9278,1039.1674,1013.4837,
2005-01-07,954.5805,920.7459,963.1241,977.8708,969.1005,985.9675,1000.5584,994.2298,998.8018,990.2740,984.8231,985.4234,990.5113,996.8105,1022.7309,1009.7889,1007.3594,991.9146,993.8391,1001.1542,965.4274,1000.2445,1035.1659,991.2206,1018.5846,990.8038,1021.6451,1034.9097,1019.1937,
2005-01-10,943.7885,928.6835,970.7866,987.2175,977.4942,993.5618,1010.2930,1004.6849,1006.5051,997.3138,991.9267,989.3429,1001.6872,1006.3921,1033.1060,1015.7793,1020.0707,1002.3724,1006.5242,1009.0260,992.1642,1012.0100,1044.1267,996.8280,1027.5371,999.0348,1036.1612,1049.5606,1031.6837,
2005-01-11,942.1652,917.3293,975.8264,989.3208,981.5294,996.3230,1020.0857,1003.4595,1008.4016,1000.8358,994.1908,989.5031,1005.0674,1012.1523,1037.7506,1035.7843,1020.9444,1003.8737,1007.8480,1010.1912,998.2777,1014.4683,1047.3505,1003.6384,1024.7604,997.4910,1040.0762,1044.1123,1035.2348,
2005-01-12,932.4711,920.8056,981.4355,987.2308,983.5951,1001.9637,1017.7966,1006.8400,1009.2140,1007.5750,994.4203,987.1092,1002.1653,1013.4377,1033.3568,1028.1477,1020.9037,1001.7654,1006.2547,1011.1564,994.2065,1007.1429,1045.1022,1002.4342,1023.1216,998.7587,1032.4247,1036.6775,1035.6825,
2005-01-13,921.5385,936.1786,979.6744,982.3532,984.7095,1002.7796,1014.2005,1006.3644,1013.2647,1010.1932,995.0194,986.0765,1003.9579,1017.2359,1042.6760,1032.2716,1019.0115,1004.7046,1004.8108,1009.6698,991.5328,1000.8642,1052.9831,1000.6482,1022.4067,1009.1119,1035.0151,1037.5592,1037.1806,
2005-01-14,910.4810,927.2960,966.9333,972.6134,979.6081,993.1279,1003.1274,994.4725,1002.8624,996.7101,986.6760,970.7800,998.7841,1005.5174,1025.9830,1017.6317,1003.3083,997.9324,999.4006,1002.7090,984.9552,982.0780,1035.6713,994.7530,1012.4771,1005.2309,1014.2517,1020.4017,1017.6706,
2005-01-17,881.6255,909.1520,938.1342,930.0386,961.4942,973.0211,979.9727,966.0274,977.1061,976.8209,959.2680,947.4228,976.5256,989.4379,1009.5350,996.3917,980.1381,978.2848,980.8511,976.1234,962.5976,909.4394,1023.2292,979.7224,979.3164,1007.8622,996.2483,1006.8262,993.9518,
2005-01-18,875.3784,911.0617,954.1408,931.4411,975.9099,977.3780,994.5164,984.2540,965.2597,992.6333,961.6434,973.6864,994.1333,1001.0883,1026.8138,1002.9032,991.2634,989.6243,994.2592,985.5850,964.1210,917.5722,1039.3925,979.4040,998.4180,1032.1608,1023.6579,1032.7705,1011.2966,
2005-01-19,873.0527,885.3358,946.9771,927.0246,969.6056,973.0966,989.5641,985.0779,957.8978,987.2504,953.5378,948.9785,996.2769,1001.1911,1018.0135,999.7812,985.1133,983.8463,989.0711,980.9251,954.6544,902.9960,1031.3301,970.4015,981.8655,1027.8154,1010.7617,1020.1883,1005.8108,
2005-01-20,869.3244,869.3420,934.3834,911.3868,961.6072,956.3001,972.6992,976.7092,949.5936,974.6864,934.3943,942.0681,991.6032,987.0421,994.5902,991.1598,974.3325,965.2066,975.4663,968.8792,944.6733,897.0275,1022.0893,956.2291,974.1882,1021.7806,1000.1242,1005.5262,988.8176,
2005-01-21,892.1555,907.9525,956.7973,938.2425,993.6311,974.9396,993.7826,995.0229,969.2584,994.5821,959.4625,956.0619,1017.9739,1003.6179,1015.2443,1008.7843,991.6659,985.0287,989.7832,985.5144,1010.2870,932.5719,1043.6771,974.7945,1005.5428,1032.7386,1001.0208,1002.0412,993.9165,
2005-01-24,907.6426,925.8330,975.1988,954.0141,1009.2806,993.1873,1011.2738,1014.4876,982.7019,1017.5876,974.2031,974.8809,1028.8497,1020.8198,1029.8436,1024.1439,1007.2379,1002.6049,1004.2120,1003.9617,1022.7552,960.2477,1067.4020,987.0566,1022.0759,1049.7419,1024.4692,1017.1379,1017.9009,
2005-01-25,907.3847,940.3850,971.9802,945.5177,1007.6447,990.8659,998.3924,1004.6722,973.7072,1017.8095,960.8392,962.6912,1030.9642,1016.2306,1022.1515,1018.1817,999.0229,996.5560,1007.3026,996.8931,1004.7102,952.3741,1066.5513,990.5667,1008.3853,1044.4501,1011.7026,1016.5727,1011.0887,
2005-01-26,900.9541,929.5967,965.2290,933.6592,1004.3357,985.1613,986.8870,993.0272,967.9052,1008.3616,952.3493,952.0756,1022.4470,1009.1084,1005.8048,1011.2024,985.6541,987.4961,1004.0814,981.4274,1005.5713,950.4959,1057.5913,986.1425,983.4212,1035.2539,982.7694,996.4677,993.7158,
2005-01-27,887.3796,908.2008,951.9601,927.3401,993.2441,972.2296,973.0883,979.4421,957.8269,992.8491,933.5469,927.8654,995.4792,995.9901,1004.1746,995.1076,967.6715,977.8579,987.6005,967.2089,986.5138,919.6380,1050.4979,972.9287,957.4422,1005.8956,958.0416,959.5776,973.3488,
