date,Energy,Materials,Capital Goods,Commercial & Professional Services,Transportation,Automobiles & Components,Consumer Durables & Apparel,Consumer Services,Media,Retailing,Food & Staples Retailing,"Food, Beverage & Tobacco",Household & Personal Products,Health Care Equipment & Services,"Pharmaceuticals, Biotechnology & Life Sciences",Banks,Diversified Financials,Insurance,Real Estate,Software & Services,Technology Hardware & Equipment,Semiconductors & Semiconductor Equipment,Communication Services,Utilities
2009-02-01,84994811.7,312231542.07000005,258765002.0,6178923.199999999,64116327.1,34698269.300000004,59345613.958000004,10560467.7,13408610.2,45280901.900000006,6475561.9,75395981.9,3771098.3000000003,9670007.2,68341291.04800001,104503622.0,72762905.0,31990140,82659560.6,14034258.8,55788181.599999994,8288214.6,14434433.0,41394430.300000004
2009-03-01,209999543.9,882223421.0,667348340.4647,13730104.9,215641983.2,103438409.38,169098649.2,32504752.99,42182045.0,116171517.60000001,20996156.3,231841095.78,11379030.0,20860049.2,155538086.866,223691304.0,166910090.3,52925340,299769733.8,34552355.0,147957581.0,24594455.0,34636666.0,120675047.7
2009-04-01,205297145.0,845713017.309,547434646.04,11732110.2,186330176.1,103851472.7,131135518.9,32360755.2,34684474.8,105839023.6,14070371.700000001,176747574.5,9048773.600000001,17668371.7,139771108.60000002,261996924.0,172706125.0,68239530,291339179.90000004,30576402.4,130623971.19999999,26543184.700000003,24806716.6,108312543.2
2009-05-01,282288448.0,967404414.37,681407268.0999999,14029226.7,238400193.82,123930350.0,175396877.40000004,37222572.462,39536313.0,124731529.6,21435038.8,228128270.754,12334752.0,33150203.0,203727468.2,245084896.0,180202116.0,58793560,301878390.90000004,63212270.0,188079879.9,43947019.7,43855180.0,139980059.4
2009-06-01,306786637.0,751051584.26,554135195.1,12811040.4,170052479.0,109467834.13,137178670.14,26519418.886,36165840.0,94589247.5,15186127.3,150552717.38,9535820.4,30966009.9,166908903.64999998,196577371.0,147277547.0,41905440,278825350.6,37353249.9,129481619.8,33093960.0,29965890.0,140934026.6
2009-07-01,295264990.0,995908850.8,648468705.2,9852301.7,223529196.9,119003068.0,157713826.1,34833342.230000004,33832109.0,117424630.8,20748725.5,208308316.351,11596058.0,28588429.0,203349243.0,308178390.0,211783921.0,82043820,377218518.36,39168881.599999994,143118489.8,30269925.1,38682899.0,155643753.1
2009-08-01,467473277.0,1572562303.71,1064708011.02,19378983.2,341201238.3,179065508.24,222813847.20999998,63189978.5,52048861.0,166780604.0,29026237.7,303286998.75,16971652.0,37105118.0,256827434.46,376577120.0,297066337.0,89502830,624334839.0,66048583.0,232323918.60000002,48530186.0,57228759.0,277335385.0
2009-09-01,310948315.0,1115087640.6999998,759412573.8,13271144.9,244350506.7,133589195.5,170639362.5,45795018.1,36108740.0,136282679.70000002,26389068.6,236141299.6,12849153.0,28328000.8,218150168.5,267961720.0,187735114.0,83564530,372507477.70000005,43068137.6,166716361.5,28815636.0,36995368.0,175059185.9
2009-10-01,233416568.7,950394133.77,658840311.1999999,13350177.1,181134461.9,127399422.39999999,154360683.3,45016247.3,46507682.4,115871737.60000001,21243526.200000003,201569982.0,10612058.0,50915037.3,231691330.6,229459857.0,131171364.0,67129590,293690549.23,49144691.6,196389101.10000002,35287647.7,27860176.0,125162692.4
2009-11-01,198856979.1,663891577.7,452470770.4,12304082.4,107229854.8,109242826.39999999,119661187.2,26032140.6,28767529.0,87835532.6,13048687.1,138989266.2,9879692.3,41228935.8,178929354.2,163840408.0,93305334.1,46230190,257911819.2,33075600.799999997,129547421.8,21137796.0,16725760.0,85689283.6
2009-12-01,310822046.0,1246005413.32,919602996.9499999,24082859.3,266203549.0,200772847.8,267242506.0,67155393.8,45641037.0,180019731.2,31513160.0,307022177.0,15274881.0,88599791.0,352003239.0,263497585.0,188436273.0,73409600,500563950.0,59330271.12,247779300.4,41038761.0,27890180.0,211897660.0
2010-01-01,263897156.1,933697542.5400001,733979141.1,13405686.5,203454956.7,171055428.29999998,204541704.5,45000076.5,26773433.0,141217119.5,24056925.7,245228054.2,10990775.0,38172641.8,203695384.39999998,280304750.0,208589567.0,82590170,390949278.2,56445100.480000004,248318767.10000002,45069839.0,43270094.0,138549560.6
2010-02-01,229768335.1,761371670.0,691531091.7,11390717.0,231224253.9,142535630.6,202901712.1,45744763.7,51132768.0,138040627.9,25215853.799999997,221683135.0,10192380.2,31733877.6,185120270.50000003,256954210.0,193719156.0,61246030,323031536.9,61501098.5,268103338.3,51964139.0,34847064.0,107296272.5
2010-03-01,95034343.8,371237842.65999997,355236775.8,6760155.8,139727360.7,66234040.5,94056737.5,30197722.5,22689883.2,89556217.3,11681071.399999999,127067848.1,6244330.600000001,18406519.7,102309835.19999999,88544610.0,63855348.0,44773630,191178808.4,21628860.8,111632464.0,19688355.0,11343411.0,68757919.2
2010-04-01,159110625.6,679651990.0,655174689.9999999,12700995.2,210528993.0,131999029.1,204583071.4,41456027.3,33288120.0,133041143.8,18318984.1,206561104.6,12211798.6,28454555.7,153226447.7,152348626.0,103722204.0,50488660,306348946.6,45772383.9,232408633.3,63847729.0,16266095.0,126034576.6
2010-05-01,198354395.0,856232898.0999999,757889143.5,11711537.1,186610456.0,157612394.6,197634301.10000002,52016496.8,43316944.0,153198357.8,21871860.0,251287390.4,13178284.0,46849527.0,250177016.9,184401840.0,77942858.0,57886010,293312560.3,61094488.9,286761624.4,65374695.0,20077934.0,144030723.3
2010-06-01,131391830.9,573003247.0999999,427995339.29999995,7325057.2,109166486.60000001,105903701.0,130570292.7,25831828.2,33944709.6,85612929.94,13119141.48,157826964.4,5885467.0,24422053.200000003,147647494.5,144707947.0,65501029.0,54577900,191110159.3,27358857.000000004,166855747.19,39688888.0,10397242.0,66284550.6
2010-07-01,76115045.19999999,372857148.20000005,316674207.1,4705466.5,77081973.80000001,76641444.39999999,98085559.10000001,19878448.0,24986469.0,58140380.199999996,9077366.100000001,110264559.80000001,4976722.6,22350893.6,127575416.6,113867128.0,40254121.0,35014440,146068554.2,34547586.699999996,150142755.0,42375202.0,8539473.0,39786734.00000001
2010-08-01,130412366.3,513055029.3,471012159.1,7503881.7,105373105.19999999,103112509.30000001,127944227.19999999,25297076.3,25189139.0,72184897.6,9217241.8,134164603.79999998,6956047.0,21748439.3,138588806.7,119106711.0,54693571.0,33654190,218328585.36,30849983.699999996,164352348.8,39970920.7,13035471.1,67689157.19999999
